Epoch-level loss log — MIMII -6dB | Seed=42
==================================================

FAN
 Epoch    Train Loss    Val Loss
     1        0.5801      0.5634
     2        0.5188      0.4989
     3        0.4696      0.5027
     4        0.4396      0.4678
     5        0.4071      0.4277
     6        0.3802      0.4249
     7        0.3708      0.4331
     8        0.3591      0.3980
     9        0.3447      0.3995
    10        0.3314      0.3873

PUMP
 Epoch    Train Loss    Val Loss
     1        0.3583      0.2711
     2        0.3022      0.2489
     3        0.2517      0.2122
     4        0.2160      0.3408
     5        0.1934      0.1597
     6        0.1733      0.1512
     7        0.1625      0.1754
     8        0.1467      0.1408
     9        0.1359      0.1474
    10        0.1327      0.1374

SLIDER
 Epoch    Train Loss    Val Loss
     1        0.4768      0.3939
     2        0.3808      0.3231
     3        0.3191      0.3012
     4        0.2823      0.3264
     5        0.2522      0.2571
     6        0.2263      0.2657
     7        0.2093      0.2786
     8        0.1764      0.1980
     9        0.1590      0.2229
    10        0.1449      0.2320

VALVE
 Epoch    Train Loss    Val Loss
     1        0.3695      0.3932
     2        0.3589      0.3875
     3        0.3545      0.3873
     4        0.3520      0.3882
     5        0.3417      0.3901
     6        0.3242      0.3833
     7        0.3131      0.3703
     8        0.2957      0.3928
     9        0.2790      0.3510
    10        0.2586      0.3224
